"","DHSID","lat","long","base_WI_no_elec_m","n","dhsID_year","cnn_3q_42_ENS_pred","year","survey_year","row_num","treated_unit","treat_year","treated_id"
"213","UG200600000032",0.431351,32.282401,-0.841400412601112,24,"UG200600000032_2009",-1.19941592216,"2009","2006","26",0,0,0
"214","UG200600000032",0.431351,32.282401,-0.841400412601112,24,"UG200600000032_2013",-1.98014652729,"2013","2006","26",0,1,0
"215","UG200600000032",0.431351,32.282401,-0.841400412601112,24,"UG200600000032_2006",-1.47769927979,"2006","2006","26",0,0,0
"216","UG200600000032",0.431351,32.282401,-0.841400412601112,24,"UG200600000032_2015",-1.69392907619,"2015","2006","26",0,1,0
"217","UG200600000032",0.431351,32.282401,-0.841400412601112,24,"UG200600000032_2012",-1.58718574047,"2012","2006","26",0,1,0
"219","UG200600000032",0.431351,32.282401,-0.841400412601112,24,"UG200600000032_2007",-2.19724607468,"2007","2006","26",0,0,0
"220","UG200600000032",0.431351,32.282401,-0.841400412601112,24,"UG200600000032_2014",-1.93131816387,"2014","2006","26",0,1,0
"221","UG200600000032",0.431351,32.282401,-0.841400412601112,24,"UG200600000032_2011",-2.28052854538,"2011","2006","26",0,1,0
"222","UG200600000042",1.491609,32.529187,-1.30267883100449,22,"UG200600000042_2008",-3.01499938965,"2008","2006","32",0,0,0
"223","UG200600000042",1.491609,32.529187,-1.30267883100449,22,"UG200600000042_2012",-3.01499938965,"2012","2006","32",0,1,0
"227","UG200600000042",1.491609,32.529187,-1.30267883100449,22,"UG200600000042_2013",-3.01499938965,"2013","2006","32",0,1,0
"228","UG200600000042",1.491609,32.529187,-1.30267883100449,22,"UG200600000042_2009",-3.01499938965,"2009","2006","32",0,0,0
"229","UG200600000042",1.491609,32.529187,-1.30267883100449,22,"UG200600000042_2011",-3.01499938965,"2011","2006","32",0,1,0
"230","UG200600000042",1.491609,32.529187,-1.30267883100449,22,"UG200600000042_2010",-3.01499938965,"2010","2006","32",0,0,0
"231","UG200600000042",1.491609,32.529187,-1.30267883100449,22,"UG200600000042_2015",-1.9409185648,"2015","2006","32",0,1,0
"232","UG200600000042",1.491609,32.529187,-1.30267883100449,22,"UG200600000042_2006",-3.01499938965,"2006","2006","32",0,0,0
